body_type,km,ownerno,brand,model,modelyear,price_in_lakh,insurance_validity,fuel_type,seats,transmission,top_features_count,comfort_count,safety_count,mileage,color,displacement,city
Sedan,100000,3,Toyota,Toyota Camry,2004,1.2,Third Party insurance,Petrol,5,Manual,9,19,23,13.4,Black,2362,Bangalore
Hatchback,50000,2,Hyundai,Hyundai i10,2012,3.2,Third Party insurance,Petrol,5,Manual,9,10,11,20.36,Others,1197,Bangalore
SUV,20000,1,Kia,Kia Sonet,2022,13.5,Third Party insurance,Diesel,5,Automatic,9,19,31,19.095,Others,1493,Bangalore
Hatchback,120000,2,Maruti,Maruti Alto,2006,1.65,Third Party insurance,Petrol,5,Manual,8,5,6,19.7,Others,796,Bangalore
Hatchback,50000,2,Fiat,Fiat Punto Abarth,2018,5.25,Third Party insurance,Petrol,5,Manual,9,14,24,16.3,Black,1368,Bangalore
SUV,80000,1,Hyundai,Hyundai Creta,2015,8.88,Third Party insurance,Diesel,5,Manual,9,20,23,19.67,White,1582,Bangalore
SUV,80000,2,Mahindra,Mahindra TUV 300,2015,5.75,Comprehensive,Diesel,7,Manual,8,7,19,18.49,Silver,1493,Bangalore
Sedan,94932,1,Maruti,Maruti Swift Dzire,2017,7.07,Comprehensive,Diesel,5,Manual,9,19,29,28.4,Silver,1248,Bangalore
Hatchback,75140,1,Maruti,Maruti Baleno,2016,5.93,Comprehensive,Petrol,5,Manual,9,11,24,21.4,Red,1197,Bangalore
Hatchback,88000,1,Chevrolet,Chevrolet Beat,2011,2.5,Third Party insurance,Petrol,5,Manual,9,11,9,18.6,Blue,1199,Bangalore
Hatchback,73969,1,Hyundai,Hyundai i20,2016,6.85,Comprehensive,Petrol,5,Manual,9,17,24,18.6,Red,1197,Bangalore
Sedan,62598,1,Hyundai,Hyundai Verna,2016,6.99,Comprehensive,Petrol,5,Manual,9,15,23,17.01,Silver,1591,Bangalore
Sedan,70000,2,Toyota,Toyota Corolla Altis,2017,12.0,Third Party insurance,Petrol,5,Automatic,9,25,32,14.28,Others,1798,Bangalore
Hatchback,24343,2,Maruti,Maruti Alto 800,2021,4.25,Zero Dep,Petrol,5,Manual,9,6,17,22.05,Silver,796,Bangalore
Hatchback,110000,2,Volkswagen,Volkswagen Polo,2014,3.8,Third Party insurance,Diesel,5,Manual,9,8,13,22.07,Silver,1199,Bangalore
Hatchback,58917,2,Volkswagen,Volkswagen Polo,2017,5.74,Third Party insurance,Petrol,5,Manual,9,17,20,16.2,White,1199,Bangalore
Hatchback,72338,1,Maruti,Maruti Swift,2016,5.73,Comprehensive,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
Hatchback,50000,1,Tata,Tata Indica V2,2003,70.0,Third Party insurance,Diesel,5,Manual,8,5,7,17.88,Others,1396,Bangalore
SUV,110000,3,Mahindra,Mahindra XUV500,2015,6.85,Third Party insurance,Diesel,7,Manual,9,19,22,19.095,Others,2179,Bangalore
Hatchback,41000,2,Honda,Honda Brio,2012,4.25,Comprehensive,Petrol,5,Automatic,9,15,18,18.4,Silver,1198,Bangalore
Hatchback,70000,2,Hyundai,Hyundai i10,2009,2.65,Third Party insurance,Petrol,5,Automatic,8,11,10,19.2,Others,1197,Bangalore
Sedan,25887,1,Maruti,Maruti Swift Dzire,2019,6.0,Comprehensive,Petrol,5,Manual,9,12,19,17.5,Orange,1298,Bangalore
Sedan,40000,1,Honda,Honda City,2016,6.5,Third Party insurance,Petrol,5,Manual,9,17,23,17.8,Others,1497,Bangalore
Hatchback,50000,1,Maruti,Maruti Swift,2015,4.3,Third Party insurance,Diesel,5,Manual,9,10,21,25.2,Others,1248,Bangalore
Minivans,10000,1,Maruti,Maruti Eeco,2021,5.3,Third Party insurance,Petrol,7,Manual,8,2,13,16.11,Others,1196,Bangalore
Hatchback,20000,1,Volkswagen,Volkswagen Polo,2022,10.75,Third Party insurance,Petrol,5,Manual,9,18,27,18.24,Others,999,Bangalore
Sedan,60000,2,Hyundai,Hyundai Verna,2017,7.5,Third Party insurance,Petrol,5,Manual,9,27,30,19.095,Others,1591,Bangalore
Hatchback,64235,2,Hyundai,Hyundai i20,2017,6.15,Third Party insurance,Petrol,5,Manual,9,17,24,18.6,Red,1197,Bangalore
Hatchback,83873,1,Maruti,Maruti Baleno,2018,7.46,Zero Dep,Diesel,5,Manual,9,15,28,27.39,Silver,1248,Bangalore
Sedan,120000,2,Skoda,Skoda Rapid,2012,3.7,Third Party insurance,Diesel,5,Manual,8,16,15,20.5,Others,1598,Bangalore
Sedan,93059,2,Hyundai,Hyundai Verna,2016,6.67,Comprehensive,Petrol,5,Manual,9,18,26,17.01,Silver,1591,Bangalore
Hatchback,45681,1,Maruti,Maruti Baleno,2017,6.34,Zero Dep,Petrol,5,Manual,9,11,24,21.4,Blue,1197,Bangalore
Sedan,50000,3,Maruti,Maruti 1000,1998,40.0,Third Party insurance,Petrol,5,Manual,4,6,0,19.095,White,970,Bangalore
Hatchback,45938,2,Honda,Honda Jazz,2017,5.79,Comprehensive,Petrol,5,Manual,9,13,22,18.7,Brown,1199,Bangalore
Hatchback,40000,1,Maruti,Maruti Baleno,2018,5.1,Third Party insurance,Petrol,5,Manual,9,11,24,21.4,Others,1197,Bangalore
Hatchback,57423,2,Maruti,Maruti Swift,2018,6.34,Third Party insurance,Petrol,5,Manual,9,17,26,22.38,Blue,1197,Bangalore
Hatchback,60942,1,Hyundai,Hyundai Grand i10,2015,5.27,Third Party insurance,Petrol,5,Automatic,9,16,17,18.9,Silver,1197,Bangalore
SUV,70000,1,Hyundai,Hyundai Creta,2018,9.0,Third Party insurance,Petrol,5,Automatic,9,21,24,19.095,Others,1591,Bangalore
SUV,80000,2,Jeep,Jeep Compass,2018,15.0,Third Party insurance,Diesel,5,Manual,9,14,23,17.1,Others,1956,Bangalore
SUV,19875,1,Citroen,Citroen C5 Aircross,2021,30.0,Comprehensive,Diesel,5,Automatic,9,32,34,18.6,Black,1997,Bangalore
SUV,20000,1,Mahindra,Mahindra XUV700,2022,27.5,Third Party insurance,Diesel,7,Automatic,9,19,27,19.095,Black,2198,Bangalore
Hatchback,10000,2,Hyundai,Hyundai Grand i10 Nios,2021,6.5,Third Party insurance,Petrol,5,Manual,9,15,24,20.7,Others,1197,Bangalore
MUV,120000,2,Toyota,Toyota Innova,2012,9.65,Third Party insurance,Diesel,7,Manual,9,11,13,12.99,Others,2494,Bangalore
SUV,20000,1,Volkswagen,Volkswagen Tiguan,2022,36.0,Third Party insurance,Petrol,5,Automatic,9,27,35,12.65,Black,1984,Bangalore
Sedan,120000,4,Hyundai,Hyundai Verna,2013,4.0,Third Party insurance,Diesel,5,Manual,9,16,26,22.32,Others,1582,Bangalore
Sedan,50000,1,Fiat,Fiat Linea,2009,3.0,Third Party insurance,Petrol,5,Manual,9,18,23,19.095,Others,1368,Bangalore
Sedan,30000,1,BMW,BMW 3 Series GT,2018,34.0,Third Party insurance,Diesel,5,Automatic,9,28,33,21.76,Blue,1995,Bangalore
Hatchback,14949,1,Hyundai,Hyundai i20,2020,9.82,Zero Dep,Petrol,5,Manual,9,27,35,19.095,Red,998,Bangalore
Hatchback,77995,1,Maruti,Maruti Baleno,2017,6.74,Comprehensive,Petrol,5,Automatic,9,15,28,21.4,Silver,1197,Bangalore
SUV,20000,1,Tata,Tata Nexon,2021,8.1,Third Party insurance,Petrol,5,Manual,9,11,23,17.33,Others,1199,Bangalore
Sedan,40908,1,Maruti,Maruti Ciaz,2020,7.92,Comprehensive,Petrol,5,Manual,9,13,22,20.65,Blue,1462,Bangalore
Hatchback,39693,2,Hyundai,Hyundai Grand i10,2016,5.13,Comprehensive,Petrol,5,Automatic,9,15,20,18.9,Red,1197,Bangalore
Sedan,40000,1,Hyundai,Hyundai Verna,2010,3.6,Third Party insurance,Petrol,5,Manual,9,14,13,16.2,Others,1599,Bangalore
Hatchback,63411,1,Maruti,Maruti Swift,2016,5.79,Comprehensive,Petrol,5,Manual,9,11,26,22.38,White,1197,Bangalore
Hatchback,30000,1,Maruti,Maruti Swift,2018,5.5,Third Party insurance,Petrol,5,Manual,8,8,21,19.095,Others,1197,Bangalore
Hatchback,94221,2,Hyundai,Hyundai Grand i10,2014,3.83,Comprehensive,Petrol,5,Manual,9,12,17,18.9,Red,1197,Bangalore
Hatchback,93975,1,Hyundai,Hyundai i20,2017,6.05,Third Party insurance,Petrol,5,Manual,9,21,28,18.6,White,1197,Bangalore
SUV,30000,1,Mahindra,Mahindra XUV300,2019,9.85,Third Party insurance,Petrol,5,Manual,9,17,25,16.82,Red,1197,Bangalore
Hatchback,30155,2,Volkswagen,Volkswagen Polo,2020,9.35,Third Party insurance,Petrol,5,Manual,9,18,27,18.24,Grey,999,Bangalore
Hatchback,59006,2,Volkswagen,Volkswagen Polo,2016,6.75,Third Party insurance,Petrol,5,Manual,9,11,20,16.47,White,1198,Bangalore
Hatchback,100000,4,Maruti,Maruti Zen,2004,1.35,Third Party insurance,Petrol,5,Manual,5,4,0,17.3,Silver,993,Bangalore
SUV,18570,1,Tata,Tata Nexon,2022,13.45,Third Party insurance,Petrol,5,Automatic,9,22,26,16.35,White,1199,Bangalore
MUV,48246,1,Toyota,Toyota Innova Crysta,2021,23.65,Comprehensive,Diesel,7,Manual,9,19,31,19.095,White,2393,Bangalore
Sedan,10000,1,Mercedes-Benz,Mercedes-Benz C-Class,2017,32.0,Third Party insurance,Diesel,5,Automatic,9,23,27,19.27,Others,2143,Bangalore
Hatchback,61263,1,Maruti,Maruti Baleno,2016,7.34,Third Party insurance,Diesel,5,Manual,9,15,28,27.39,Red,1248,Bangalore
SUV,65507,2,Honda,Honda WR-V,2017,7.01,Third Party insurance,Petrol,5,Manual,9,21,28,17.5,White,1199,Bangalore
SUV,100000,1,Renault,Renault Duster,2014,5.35,Third Party insurance,Diesel,5,Manual,9,17,16,20.46,Others,1461,Bangalore
SUV,26158,1,Honda,Honda WR-V,2017,7.89,Comprehensive,Petrol,5,Manual,9,21,28,17.5,Silver,1199,Bangalore
Hatchback,35250,1,Maruti,Maruti Swift,2015,5.48,Comprehensive,Petrol,5,Manual,9,11,26,22.38,White,1197,Bangalore
SUV,65965,1,Mahindra,Mahindra Quanto,2012,3.5,Comprehensive,Diesel,7,Manual,9,9,14,17.21,Red,1493,Bangalore
Hatchback,40304,2,Maruti,Maruti Celerio,2015,4.77,Comprehensive,Petrol,5,Manual,9,12,24,25.24,Others,998,Bangalore
SUV,80000,1,Land Rover,Land Rover Freelander 2,2013,15.25,Comprehensive,Diesel,5,Automatic,9,22,30,12.35,Silver,2179,Bangalore
Hatchback,56661,1,Maruti,Maruti Swift,2014,5.15,Comprehensive,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
Hatchback,90213,2,Hyundai,Hyundai i20,2016,5.62,Comprehensive,Petrol,5,Manual,9,17,24,18.6,Silver,1197,Bangalore
Sedan,70000,3,Volkswagen,Volkswagen Vento,2010,3.45,Third Party insurance,Petrol,5,Manual,9,17,18,15.04,Others,1598,Bangalore
Sedan,120000,4,Hyundai,Hyundai Verna,2013,4.75,Third Party insurance,Diesel,5,Manual,9,16,26,22.32,Others,1582,Bangalore
SUV,10000,2,Nissan,Nissan Magnite,2021,6.7,Third Party insurance,Petrol,5,Manual,9,22,34,18.75,Others,999,Bangalore
Hatchback,20739,1,Honda,Honda Jazz,2021,9.5,Comprehensive,Petrol,5,Automatic,9,17,21,17.1,Brown,1199,Bangalore
Hatchback,20000,2,Hyundai,Hyundai i20,2020,7.0,Third Party insurance,Petrol,5,Manual,9,19,27,18.6,Others,1197,Bangalore
Sedan,70000,1,Opel,OpelCorsa,2004,80.0,Third Party insurance,Petrol,5,Manual,9,3,1,14.2,Silver,1389,Bangalore
SUV,10000,1,Mahindra,Mahindra Thar,2021,15.0,Third Party insurance,Petrol,4,Automatic,9,12,24,15.2,Red,1997,Bangalore
Sedan,60000,3,Chevrolet,Chevrolet Cruze,2009,3.7,Third Party insurance,Diesel,5,Manual,9,20,18,18.3,White,1991,Bangalore
Hatchback,70000,1,Hyundai,Hyundai i20,2015,5.5,Third Party insurance,Diesel,5,Manual,9,17,22,22.54,Others,1396,Bangalore
Hatchback,47127,2,Hyundai,Hyundai i20,2015,5.81,Comprehensive,Petrol,5,Manual,9,17,24,18.6,Silver,1197,Bangalore
Hatchback,47038,1,Maruti,Maruti Swift,2017,5.82,Comprehensive,Petrol,5,Manual,9,10,21,20.4,Others,1197,Bangalore
Sedan,120000,3,Honda,Honda City,2007,1.85,Third Party insurance,Petrol,5,Manual,9,14,13,17.7,Others,1497,Bangalore
Hatchback,40769,1,Hyundai,Hyundai Grand i10,2018,5.31,Third Party insurance,Petrol,5,Manual,9,13,23,18.9,Blue,1197,Bangalore
Hatchback,34757,1,Hyundai,Hyundai Grand i10,2017,5.58,Comprehensive,Petrol,5,Manual,9,19,24,18.9,Orange,1197,Bangalore
Hatchback,100000,3,Hyundai,Hyundai Santro Xing,2006,1.55,Third Party insurance,Petrol,5,Manual,4,7,0,19.095,Others,1086,Bangalore
Hatchback,88119,2,Hyundai,Hyundai Grand i10,2016,5.08,Comprehensive,Petrol,5,Automatic,9,15,20,18.9,Blue,1197,Bangalore
SUV,120000,1,Toyota,Toyota Fortuner,2015,20.6,Third Party insurance,Diesel,7,Automatic,9,20,26,12.55,Others,2982,Bangalore
Hatchback,57176,1,Hyundai,Hyundai Grand i10,2017,5.42,Third Party insurance,Petrol,5,Manual,9,19,24,18.9,Orange,1197,Bangalore
Hatchback,62223,2,Maruti,Maruti Swift,2015,5.01,Comprehensive,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
MUV,55000,1,Maruti,Maruti Ertiga,2018,8.75,Third Party insurance,Petrol,7,Manual,9,14,26,19.34,Grey,1462,Bangalore
SUV,52000,1,Mahindra,Mahindra Scorpio,2020,13.7,Third Party insurance,Diesel,7,Manual,9,15,23,19.095,Black,2179,Bangalore
Minivans,63251,1,Maruti,Maruti Eeco,2018,4.85,Comprehensive,Petrol,5,Manual,7,1,13,16.11,Silver,1196,Bangalore
Hatchback,20000,3,Hyundai,Hyundai i10,2010,3.0,Third Party insurance,Petrol,5,Manual,8,10,10,20.36,Red,1197,Bangalore
Sedan,60000,3,Chevrolet,Chevrolet Cruze,2009,3.5,Third Party insurance,Diesel,5,Manual,9,20,18,18.3,White,1991,Bangalore
SUV,20000,1,Citroen,Citroen C5 Aircross,2021,32.5,Third Party insurance,Diesel,5,Automatic,9,32,34,18.6,Blue,1997,Bangalore
Sedan,80000,2,Ford,Ford Ikon,2004,55.0,Third Party insurance,Petrol,5,Manual,9,11,12,14.2,Silver,1597,Bangalore
Hatchback,40000,1,Hyundai,Hyundai Grand i10,2018,6.3,Third Party insurance,Petrol,5,Automatic,9,15,24,18.9,Red,1197,Bangalore
SUV,20000,1,Tata,Tata New Safari,2022,24.75,Third Party insurance,Diesel,7,Automatic,9,19,23,14.08,Others,1956,Bangalore
Hatchback,67444,1,Hyundai,Hyundai i20,2012,4.17,Third Party insurance,Petrol,5,Manual,9,10,19,18.5,Others,1197,Bangalore
Hatchback,63837,2,Maruti,Maruti Baleno,2016,6.31,Comprehensive,Petrol,5,Automatic,9,11,24,21.4,Red,1197,Bangalore
MUV,61000,2,Mahindra,Mahindra Xylo,2012,4.65,Comprehensive,Diesel,7,Manual,9,19,21,19.095,Brown,2498,Bangalore
Hatchback,60777,1,Maruti,Maruti Swift,2016,5.44,Third Party insurance,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
Hatchback,39248,2,Maruti,Maruti Baleno,2016,7.04,Third Party insurance,Petrol,5,Manual,9,13,27,21.4,Blue,1197,Bangalore
Sedan,66000,1,BMW,BMW 5 Series,2014,19.75,Comprehensive,Diesel,5,Automatic,9,24,29,18.12,Grey,1995,Bangalore
Hatchback,96198,1,Honda,Honda Brio,2015,3.59,Comprehensive,Petrol,5,Manual,9,12,16,19.4,White,1198,Bangalore
Sedan,50000,2,Honda,Honda City,2013,5.2,Third Party insurance,Petrol,5,Automatic,9,13,18,16.8,Others,1497,Bangalore
Hatchback,81207,3,Maruti,Maruti Wagon R,2015,3.35,Comprehensive,Petrol,5,Manual,9,11,17,20.51,Brown,998,Bangalore
Hatchback,48148,1,Maruti,Maruti Swift,2021,7.66,Third Party insurance,Petrol,5,Manual,9,17,26,22.38,Silver,1197,Bangalore
Hatchback,120000,1,Maruti,Maruti Celerio,2015,3.5,Third Party insurance,Petrol,5,Manual,8,10,13,23.1,Others,998,Bangalore
Sedan,90000,3,Tata,Tata Zest,2018,4.8,Third Party insurance,Diesel,5,Manual,9,14,26,20.65,White,1248,Bangalore
SUV,60000,2,Mahindra,Mahindra Thar,2017,8.22,Third Party insurance,Diesel,7,Manual,8,2,7,18.06,Others,2523,Bangalore
Sedan,120000,4,Fiat,Fiat Linea,2009,1.9,Third Party insurance,Petrol,5,Manual,9,18,23,19.095,Silver,1368,Bangalore
Sedan,70000,3,Honda,Honda New Accord,2008,6.0,Third Party insurance,Petrol,5,Automatic,9,20,20,11.7,Blue,2354,Bangalore
SUV,30000,1,Mahindra,Mahindra XUV300,2022,9.95,Third Party insurance,Diesel,5,Manual,9,14,23,20.1,White,1497,Bangalore
Hatchback,30000,3,Maruti,Maruti Omni,2001,1.2,Third Party insurance,Petrol,5,Manual,6,1,5,19.095,Blue,796,Bangalore
SUV,120000,2,Nissan,Nissan Terrano,2013,5.75,Third Party insurance,Diesel,5,Manual,9,18,22,19.01,Others,1461,Bangalore
SUV,64389,2,Mercedes-Benz,Mercedes-Benz GLC,2018,37.95,Comprehensive,Diesel,5,Automatic,9,31,37,17.9,Silver,2143,Bangalore
Hatchback,60000,2,Maruti,Maruti Alto 800,2014,2.6,Third Party insurance,Petrol,5,Manual,8,7,10,22.74,Others,796,Bangalore
Hatchback,67245,1,Maruti,Maruti Swift,2015,5.39,Comprehensive,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
Sedan,30518,2,Hyundai,Hyundai Verna,2018,10.06,Zero Dep,Petrol,5,Automatic,9,26,31,19.095,Silver,1591,Bangalore
Sedan,20000,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2022,39.0,Third Party insurance,Petrol,5,Automatic,9,32,40,19.095,Others,1332,Bangalore
Sedan,102407,1,Maruti,Maruti Ciaz,2018,7.96,Third Party insurance,Diesel,5,Manual,9,22,25,28.09,White,1248,Bangalore
Hatchback,53606,1,Hyundai,Hyundai i20,2015,6.36,Zero Dep,Petrol,5,Manual,9,17,24,18.6,Red,1197,Bangalore
SUV,90000,1,Skoda,Skoda Yeti,2015,14.0,Third Party insurance,Diesel,5,Manual,9,21,27,17.67,Brown,1968,Bangalore
Hatchback,44253,2,Maruti,Maruti Baleno,2016,6.15,Comprehensive,Petrol,5,Manual,9,13,27,21.4,Blue,1197,Bangalore
Minivans,40000,1,Maruti,Maruti Eeco,2021,5.0,Third Party insurance,CNG,5,Manual,8,2,13,20.88,Others,1196,Bangalore
Hatchback,34702,1,Tata,Tata Tiago,2021,7.18,Third Party insurance,Petrol,5,Manual,9,10,22,19.01,Red,1199,Bangalore
Hatchback,42762,1,Maruti,Maruti Swift,2012,4.36,Third Party insurance,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
Hatchback,50000,2,Maruti,Maruti Alto K10,2015,2.8,Third Party insurance,Petrol,5,Manual,8,5,18,23.95,Others,998,Bangalore
MUV,30000,1,Renault,Renault Triber,2022,7.8,Third Party insurance,Petrol,7,Automatic,9,16,26,18.2,Others,999,Bangalore
SUV,80000,2,Mahindra,Mahindra XUV500,2016,9.0,Third Party insurance,Diesel,7,Automatic,9,23,28,19.095,Others,1997,Bangalore
MUV,20000,1,Maruti,Maruti Ertiga,2022,13.0,Third Party insurance,CNG,7,Manual,9,19,28,26.11,Others,1462,Bangalore
Sedan,50000,2,Maruti,Maruti SX4,2014,3.0,Third Party insurance,CNG,5,Manual,9,13,14,22.1,Gray,1586,Bangalore
Sedan,28000,1,Jaguar,Jaguar XE,2019,36.75,Comprehensive,Petrol,5,Automatic,9,27,34,13.5,Black,1999,Bangalore
Sedan,40000,1,Maruti,Maruti Swift Dzire,2020,6.7,Third Party insurance,Petrol,5,Manual,9,19,29,21.21,Others,1197,Bangalore
Hatchback,10000,1,Maruti,Maruti Baleno,2020,9.0,Third Party insurance,Petrol,5,Manual,9,16,30,21.01,Others,1197,Bangalore
Hatchback,60000,1,Maruti,Maruti Baleno,2016,6.0,Third Party insurance,Petrol,5,Manual,9,13,27,21.4,Others,1197,Bangalore
Hatchback,110000,4,Chevrolet,Chevrolet Spark,2008,1.1,Third Party insurance,Petrol,5,Manual,8,9,11,19.095,Silver,995,Bangalore
Hatchback,57459,1,Hyundai,Hyundai i20,2016,6.05,Third Party insurance,Petrol,5,Manual,9,18,24,18.6,Red,1197,Bangalore
Hatchback,70381,1,Hyundai,Hyundai Grand i10,2017,5.59,Zero Dep,Petrol,5,Manual,9,19,24,18.9,Red,1197,Bangalore
Hatchback,90000,3,Volkswagen,Volkswagen Polo,2012,2.68,Third Party insurance,Diesel,5,Manual,9,9,11,22.07,Black,1199,Bangalore
Sedan,80648,1,Maruti,Maruti Ciaz,2020,7.8,Comprehensive,Petrol,5,Manual,9,18,23,20.65,White,1462,Bangalore
SUV,81853,2,Hyundai,Hyundai Creta,2016,8.64,Comprehensive,Petrol,5,Manual,9,21,24,19.095,White,1591,Bangalore
Hatchback,40000,1,Hyundai,Hyundai Santro Xing,2009,2.4,Third Party insurance,Petrol,5,Manual,9,9,16,17.92,Others,1086,Bangalore
Hatchback,90802,1,Honda,Honda Brio,2012,3.41,Comprehensive,Petrol,5,Manual,9,10,16,19.4,Red,1198,Bangalore
Hatchback,16502,1,Hyundai,Hyundai Santro,2021,5.13,Zero Dep,Petrol,5,Manual,9,9,20,20.3,White,1086,Bangalore
Hatchback,31530,1,Maruti,Maruti Ignis,2021,6.61,Third Party insurance,Petrol,5,Manual,9,12,24,20.89,Silver,1197,Bangalore
MUV,120000,2,Maruti,Maruti Ertiga,2017,8.0,Third Party insurance,Diesel,7,Manual,9,18,26,24.52,Others,1248,Bangalore
Hatchback,80000,2,Maruti,Maruti Swift,2015,5.2,Third Party insurance,Diesel,5,Manual,9,10,21,25.2,Others,1248,Bangalore
Sedan,71086,1,Honda,Honda City,2014,6.0,Comprehensive,Petrol,5,Automatic,9,17,22,19.095,TITANIUM GREY,1497,Bangalore
Hatchback,110000,2,Maruti,Maruti Ritz,2011,3.0,Third Party insurance,Diesel,5,Manual,8,10,16,21.1,Others,1248,Bangalore
SUV,50000,1,Ford,Ford Endeavour,2020,37.5,Comprehensive,Diesel,7,Automatic,9,20,32,10.91,Golden,3198,Bangalore
Hatchback,18000,1,Hyundai,Hyundai i20 N Line,2021,12.95,Comprehensive,Petrol,5,Automatic,9,26,31,20.25,White,998,Bangalore
Sedan,60000,2,Honda,Honda City,2014,6.3,Third Party insurance,Petrol,5,Manual,9,17,22,17.4,Others,1497,Bangalore
MUV,120000,3,Chevrolet,Chevrolet Tavera,2016,4.75,Third Party insurance,Diesel,10,Manual,8,2,7,13.58,White,2499,Bangalore
Hatchback,70000,2,Hyundai,Hyundai i10,2011,2.75,Third Party insurance,Petrol,5,Manual,9,10,11,20.36,Others,1197,Bangalore
Hatchback,25000,4,Honda,Honda Jazz,2016,5.75,Comprehensive,Petrol,5,Automatic,9,13,22,19.095,Silver,1199,Bangalore
Hatchback,69210,1,Honda,Honda Brio,2012,3.38,Third Party insurance,Petrol,5,Manual,9,10,16,19.4,Silver,1198,Bangalore
Hatchback,71165,2,Honda,Honda Jazz,2018,6.04,Comprehensive,Petrol,5,Manual,9,14,22,18.7,Red,1199,Bangalore
SUV,10000,1,BMW,BMW X7,2022,1.3,Third Party insurance,Petrol,7,Automatic,9,32,41,10.54,Others,2998,Bangalore
Sedan,86543,3,Maruti,Maruti Swift Dzire,2010,3.27,Third Party insurance,Diesel,5,Manual,9,12,14,19.3,Black,1248,Bangalore
Hatchback,67225,1,Maruti,Maruti Baleno,2016,6.21,Third Party insurance,Petrol,5,Automatic,9,11,24,21.4,Others,1197,Bangalore
Hatchback,100000,3,Tata,Tata Indica V2,2017,2.4,Third Party insurance,Diesel,5,Manual,8,6,9,19.095,Silver,1396,Bangalore
Hatchback,16247,1,Hyundai,Hyundai Grand i10,2018,6.21,Zero Dep,Petrol,5,Manual,9,19,24,18.9,Silver,1197,Bangalore
Sedan,80000,2,Mahindra Renault,Mahindra Renault Logan,2007,1.4,Third Party insurance,Petrol,5,Manual,8,11,9,15.7,Black,1390,Bangalore
Hatchback,39481,2,Maruti,Maruti Baleno,2017,7.08,Zero Dep,Petrol,5,Automatic,9,11,24,21.4,White,1197,Bangalore
Hatchback,61227,2,Maruti,Maruti Celerio,2018,4.43,Third Party insurance,Petrol,5,Manual,8,11,22,25.24,Blue,998,Bangalore
Sedan,80000,4,Honda,Honda City,2006,1.8,Third Party insurance,Petrol,5,Manual,9,14,13,17.7,Black,1497,Bangalore
SUV,112521,1,Renault,Renault Duster,2016,7.0,Comprehensive,Diesel,5,Manual,9,15,22,19.01,Brown,1461,Bangalore
SUV,20000,1,MG,MG Hector,2020,18.0,Third Party insurance,Diesel,5,Manual,9,29,38,17.41,Others,1956,Bangalore
Sedan,20000,1,Honda,Honda City,2021,14.5,Third Party insurance,Petrol,5,Automatic,9,27,35,18.3,White,1498,Bangalore
Sedan,60000,2,Volkswagen,Volkswagen Ameo,2016,5.2,Third Party insurance,Petrol,5,Manual,9,13,18,19.095,Others,1198,Bangalore
Hatchback,40000,2,Tata,Tata Tiago,2018,4.7,Third Party insurance,Petrol,5,Manual,9,14,24,23.84,Others,1199,Bangalore
SUV,50000,1,Renault,Renault Duster,2016,6.0,Third Party insurance,Diesel,5,Manual,9,16,22,19.64,Black,1461,Bangalore
SUV,100000,2,Audi,Audi Q3,2016,18.5,Third Party insurance,Diesel,5,Automatic,9,28,34,15.17,Others,1968,Bangalore
Hatchback,20000,2,Mahindra,Mahindra e2o Plus,2017,4.6,Third Party insurance,Electric,4,Automatic,9,11,16,19.095,Blue,72,Bangalore
Sedan,110000,2,Opel,OpelCorsa,2003,75.0,Third Party insurance,Petrol,5,Manual,9,5,10,13.8,Silver,1589,Bangalore
Hatchback,63359,2,Maruti,Maruti Baleno,2017,6.49,Third Party insurance,Petrol,5,Manual,9,13,27,21.4,Blue,1197,Bangalore
Hatchback,125227,2,Hyundai,Hyundai i20,2017,6.57,Zero Dep,Diesel,5,Manual,9,18,24,22.54,Red,1396,Bangalore
Hatchback,100000,2,Volkswagen,Volkswagen Polo,2012,4.2,Third Party insurance,Diesel,5,Manual,9,9,14,22.07,Others,1199,Bangalore
Hatchback,71884,2,Maruti,Maruti Swift,2015,6.29,Third Party insurance,Diesel,5,Manual,9,15,24,25.2,Silver,1248,Bangalore
Hatchback,79059,2,Honda,Honda Brio,2012,3.22,Third Party insurance,Petrol,5,Manual,9,10,16,19.4,Brown,1198,Bangalore
Hatchback,80000,2,Maruti,Maruti Baleno,2016,6.2,Third Party insurance,Petrol,5,Manual,9,11,24,21.4,Others,1197,Bangalore
Hatchback,69124,1,Maruti,Maruti Swift,2013,4.35,Third Party insurance,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
MUV,120000,4,Toyota,Toyota Innova,2012,9.6,Third Party insurance,Diesel,8,Manual,9,13,13,12.99,Others,2494,Bangalore
Hatchback,73340,1,Maruti,Maruti Ritz,2010,3.17,Comprehensive,Petrol,5,Manual,8,10,16,18.5,Blue,1197,Bangalore
Hatchback,44268,2,Hyundai,Hyundai Grand i10,2017,5.74,Comprehensive,Petrol,5,Manual,9,19,24,18.9,Silver,1197,Bangalore
