body_type,km,ownerno,brand,model,modelyear,price_in_lakh,insurance_validity,fuel_type,seats,transmission,top_features_count,comfort_count,safety_count,mileage,color,displacement,city
Hatchback,56997,1,Maruti,Maruti Baleno,2017,6.92,Zero Dep,Petrol,5,Manual,9,13,27,21.4,Blue,1197,Bangalore
Sedan,120000,1,Hyundai,Hyundai Elantra,2013,6.5,Third Party insurance,Petrol,5,Manual,9,17,27,16.3,Others,1797,Bangalore
Sedan,59000,1,Audi,Audi A6,2015,20.9,Third Party insurance,Diesel,5,Automatic,9,30,37,18.53,White,1968,Bangalore
Hatchback,18835,1,Maruti,Maruti Alto 800,2021,4.11,Zero Dep,Petrol,5,Manual,9,6,17,22.05,Silver,796,Bangalore
SUV,120000,2,Mahindra,Mahindra Scorpio,2010,6.5,Third Party insurance,Diesel,7,Manual,8,10,13,12.05,Gray,2179,Bangalore
Hatchback,40000,1,Mini,Mini 3 DOOR,2016,36.75,Comprehensive,Petrol,4,Automatic,9,23,33,17.33,White,1998,Bangalore
Hatchback,60932,1,Tata,Tata Tiago,2019,6.1,Comprehensive,Petrol,5,Manual,9,16,24,23.84,Red,1199,Bangalore
SUV,33539,2,Kia,Kia Seltos,2020,16.75,Comprehensive,Petrol,5,Automatic,9,24,34,16.5,White,1353,Bangalore
Hatchback,66837,2,Tata,Tata Tiago,2018,5.3,Comprehensive,Petrol,5,Manual,9,14,24,23.84,Brown,1199,Bangalore
Sedan,400,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,79.9,Third Party insurance,Diesel,5,Automatic,9,23,45,19.095,White,2925,Bangalore
Hatchback,60000,2,Maruti,Maruti Alto,2008,2.5,Third Party insurance,Petrol,5,Manual,9,5,6,19.7,Others,796,Bangalore
Hatchback,44285,1,Hyundai,Hyundai i20,2019,7.15,Third Party insurance,Petrol,5,Manual,9,16,26,18.6,Grey,1197,Bangalore
SUV,100000,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,35.0,Third Party insurance,Diesel,7,Automatic,9,24,30,11.3,Others,2987,Bangalore
SUV,25000,1,Tata,Tata New Safari,2021,22.5,Comprehensive,Diesel,6,Automatic,9,19,27,14.08,White,1956,Bangalore
Hatchback,36735,1,Hyundai,Hyundai Grand i10,2018,6.25,Comprehensive,Petrol,5,Manual,9,19,24,18.9,Blue,1197,Bangalore
